Model Evaluation Results (Sorted by Overall Accuracy)
============================================================

1. DSAL1e-07W1e-09B8E15: Acc=0.8608, Val=0.7356, Diff=0.1252
34. BL1e-07W1e-07B2E10: Acc=0.8200, Val=0.7043, Diff=0.1157
35. BSAL1e-07W1e-08B2E15: Acc=0.8196, Val=0.6948, Diff=0.1248
36. BL1e-07W1e-07B1E10: Acc=0.8194, Val=0.7117, Diff=0.1077
37. BL1e-06W1e-08B4E15: Acc=0.8189, Val=0.6975, Diff=0.1214
38. BL1e-06W1e-07B2E15: Acc=0.8181, Val=0.6726, Diff=0.1455
39. BSAL1e-07W1e-09B4E15: Acc=0.8177, Val=0.7188, Diff=0.0989
40. BL1e-06W1e-08B4E10: Acc=0.8162, Val=0.6733, Diff=0.1429
41. BL1e-05W1e-07B2E15: Acc=0.8160, Val=0.5695, Diff=0.2465
42. BSAL1e-06W1e-07B4E15: Acc=0.8159, Val=0.6758, Diff=0.1401
43. BSAL1e-07W1e-09B4E10: Acc=0.8157, Val=0.7106, Diff=0.1051
44. BL1e-05W1e-09B4E10: Acc=0.8152, Val=0.5940, Diff=0.2212
45. BSAL1e-07W1e-07B4E10: Acc=0.8152, Val=0.7297, Diff=0.0855
46. BL1e-06W1e-07B4E15: Acc=0.8150, Val=0.6887, Diff=0.1263
47. BSAL1e-07W1e-09B2E10: Acc=0.8144, Val=0.7081, Diff=0.1063
48. BL1e-06W1e-09B2E15: Acc=0.8137, Val=0.6547, Diff=0.1590
49. BL1e-05W1e-08B4E10: Acc=0.8136, Val=0.5843, Diff=0.2293
50. BL1e-07W1e-09B1E15: Acc=0.8125, Val=0.7263, Diff=0.0862
51. BL1e-06W1e-09B4E15: Acc=0.8113, Val=0.7067, Diff=0.1046
52. BSAL1e-07W1e-08B1E15: Acc=0.8109, Val=0.7113, Diff=0.0996
53. BL1e-07W1e-08B1E15: Acc=0.8105, Val=0.7015, Diff=0.1090
54. BL1e-06W1e-07B2E10: Acc=0.8095, Val=0.6657, Diff=0.1438
55. BSAL1e-07W1e-09B1E15: Acc=0.8094, Val=0.6984, Diff=0.1110
56. BOriginal_LR1e-07_e10_B2: Acc=0.8093, Val=0.6943, Diff=0.1150
57. BSAL1e-06W1e-09B4E15: Acc=0.8091, Val=0.7052, Diff=0.1039
58. BL1e-06W1e-09B4E10: Acc=0.8083, Val=0.6709, Diff=0.1374
59. BL1e-07W1e-09B1E10: Acc=0.8071, Val=0.6844, Diff=0.1227
60. BSAL1e-06W1e-08B2E10: Acc=0.8071, Val=0.6870, Diff=0.1201
61. BSAL1e-07W1e-08B2E10: Acc=0.8071, Val=0.7046, Diff=0.1025
62. BL1e-06W1e-08B2E15: Acc=0.8067, Val=0.6718, Diff=0.1349
63. BL1e-05W1e-07B1E15: Acc=0.8061, Val=0.5928, Diff=0.2133
64. BL1e-07W1e-08B2E5: Acc=0.8061, Val=0.6915, Diff=0.1146
65. BL1e-06W1e-09B2E10: Acc=0.8059, Val=0.6527, Diff=0.1532
66. BOriginal_LR1e-07_e15_B2: Acc=0.8046, Val=0.7108, Diff=0.0938
67. BL1e-05W1e-08B2E10: Acc=0.8044, Val=0.5958, Diff=0.2086
68. BSAL1e-06W1e-07B2E15: Acc=0.8044, Val=0.6606, Diff=0.1438
69. BSAL1e-06W1e-09B4E10: Acc=0.8044, Val=0.6821, Diff=0.1223
70. BL1e-05W1e-09B2E15: Acc=0.8035, Val=0.5689, Diff=0.2346
71. BL1e-07W1e-08B2E10: Acc=0.8027, Val=0.7276, Diff=0.0751
72. BL1e-07W1e-08B1E10: Acc=0.8019, Val=0.6883, Diff=0.1136
73. BSAL1e-06W1e-09B2E10: Acc=0.8014, Val=0.6862, Diff=0.1152
74. BSAL1e-07W1e-07B1E15: Acc=0.8008, Val=0.7131, Diff=0.0877
75. BSAL1e-07W1e-08B1E10: Acc=0.8005, Val=0.7200, Diff=0.0805
76. BSAL1e-07W1e-07B2E15: Acc=0.8000, Val=0.7279, Diff=0.0721
77. CSAOriginal_LR1e-07_e15_B1: Acc=0.7990, Val=0.6508, Diff=0.1482
78. CSAWeight_LR1e-07_e15_B1: Acc=0.7983, Val=0.5732, Diff=0.2251
79. BSAL1e-06W1e-08B2E15: Acc=0.7980, Val=0.6772, Diff=0.1208
80. BSAL1e-07W1e-07B1E10: Acc=0.7968, Val=0.7202, Diff=0.0766
81. BL1e-06W1e-09B1E15: Acc=0.7964, Val=0.6983, Diff=0.0981
82. BL1e-05W1e-09B2E10: Acc=0.7963, Val=0.5957, Diff=0.2006
83. BL1e-07W1e-07B1E15: Acc=0.7959, Val=0.7149, Diff=0.0810
84. BSAL1e-06W1e-08B1E10: Acc=0.7959, Val=0.6848, Diff=0.1111
85. BL1e-06W1e-08B1E10: Acc=0.7952, Val=0.6405, Diff=0.1547
86. BL1e-06W1e-07B1E15: Acc=0.7950, Val=0.6261, Diff=0.1689
87. BL1e-05W1e-07B2E10: Acc=0.7936, Val=0.5749, Diff=0.2187
88. ASAL1e-07W1e-07B4E15: Acc=0.7928, Val=0.6384, Diff=0.1544
89. BL1e-06W1e-09B1E10: Acc=0.7918, Val=0.6933, Diff=0.0985
90. BL1e-05W1e-09B1E15: Acc=0.7916, Val=0.5742, Diff=0.2174
91. BSAL1e-06W1e-09B2E15: Acc=0.7915, Val=0.6886, Diff=0.1029
92. BL1e-05W1e-08B1E10: Acc=0.7902, Val=0.6023, Diff=0.1879
93. BL1e-05W1e-08B2E15: Acc=0.7902, Val=0.5756, Diff=0.2146
94. ASAL1e-07W1e-08B4E15: Acc=0.7897, Val=0.4585, Diff=0.3312
95. BOriginal_LR1e-07_e15_B1: Acc=0.7897, Val=0.7269, Diff=0.0628
96. BSAL1e-06W1e-07B2E10: Acc=0.7894, Val=0.6965, Diff=0.0929
97. BL1e-06W1e-08B2E10: Acc=0.7889, Val=0.6723, Diff=0.1166
98. BOriginal: Acc=0.7881, Val=0.5607, Diff=0.2274
99. BSAOriginal: Acc=0.7880, Val=0.6358, Diff=0.1522
100. BSAL1e-06W1e-07B1E10: Acc=0.7875, Val=0.7054, Diff=0.0821
101. BL1e-07W1e-09B2E5: Acc=0.7863, Val=0.7077, Diff=0.0786
102. ASAL1e-07W1e-07B4E10: Acc=0.7853, Val=0.4339, Diff=0.3514
103. BL1e-06W1e-08B1E15: Acc=0.7853, Val=0.6990, Diff=0.0863
104. BL1e-06W1e-07B1E10: Acc=0.7830, Val=0.6853, Diff=0.0978
105. BL1e-05W1e-09B1E10: Acc=0.7821, Val=0.5995, Diff=0.1826
106. AL1e-06W1e-07B4E10: Acc=0.7818, Val=0.6371, Diff=0.1447
107. AL1e-07W1e-09B4E15: Acc=0.7818, Val=0.4096, Diff=0.3723
108. BL1e-07W1e-07B2E5: Acc=0.7818, Val=0.7201, Diff=0.0617
109. BOriginal_LR1e-07_e10_B1: Acc=0.7816, Val=0.6937, Diff=0.0879
110. BSAL1e-06W1e-09B1E15: Acc=0.7800, Val=0.7071, Diff=0.0729
111. AL1e-07W1e-07B4E15: Acc=0.7795, Val=0.5117, Diff=0.2678
112. BSAL1e-07W1e-09B1E10: Acc=0.7791, Val=0.7225, Diff=0.0566
113. B Original Weighted: Acc=0.7781, Val=0.4829, Diff=0.2952
114. Dataset B: Acc=0.7780, Val=0.4652, Diff=0.3128
115. BSAWeight: Acc=0.7780, Val=0.5046, Diff=0.2734
116. BWeight: Acc=0.7774, Val=0.5121, Diff=0.2653
117. Dataset B SA: Acc=0.7758, Val=0.6205, Diff=0.1553
118. BL1e-05W1e-07B1E10: Acc=0.7756, Val=0.6257, Diff=0.1499
119. BSAL1e-06W1e-08B1E15: Acc=0.7750, Val=0.6796, Diff=0.0954
120. BSAL1e-06W1e-09B1E10: Acc=0.7723, Val=0.7053, Diff=0.0670
121. BSAL1e-06W1e-07B1E15: Acc=0.7706, Val=0.7032, Diff=0.0674
122. AL1e-06W1e-08B4E10: Acc=0.7684, Val=0.6852, Diff=0.0832
123. COriginal: Acc=0.7678, Val=0.6037, Diff=0.1641
124. AL1e-07W1e-08B4E15: Acc=0.7634, Val=0.6447, Diff=0.1187
125. ASAL1e-07W1e-09B4E15: Acc=0.7614, Val=0.5798, Diff=0.1816
126. AL1e-05W1e-08B4E10: Acc=0.7603, Val=0.6663, Diff=0.0940
127. BL1e-05W1e-08B1E15: Acc=0.7595, Val=0.6434, Diff=0.1161
128. AL1e-04W1e-09B1E15: Acc=0.7577, Val=0.6240, Diff=0.1337
129. ASAL1e-07W1e-08B4E10: Acc=0.7560, Val=0.3930, Diff=0.3630
130. AL1e-07W1e-07B4E10: Acc=0.7514, Val=0.6346, Diff=0.1168
131. Dataset C: Acc=0.7503, Val=0.4734, Diff=0.2769
132. AL1e-07W1e-07B1E15: Acc=0.7476, Val=0.6857, Diff=0.0619
133. AL1e-06W1e-07B4E15: Acc=0.7472, Val=0.7035, Diff=0.0437
134. ASAL1e-06W1e-09B4E10: Acc=0.7463, Val=0.6292, Diff=0.1171
135. AL1e-07W1e-09B4E10: Acc=0.7462, Val=0.5714, Diff=0.1748
136. Dataset C SA: Acc=0.7457, Val=0.5026, Diff=0.2431
137. AL1e-07W1e-09B2E15: Acc=0.7451, Val=0.7315, Diff=0.0136
138. ASAL1e-06W1e-09B4E15: Acc=0.7448, Val=0.6068, Diff=0.1380
139. AL1e-07W1e-09B1E15: Acc=0.7443, Val=0.7136, Diff=0.0307
140. CSAWeight: Acc=0.7442, Val=0.4845, Diff=0.2596
141. AL1e-07W1e-08B1E5: Acc=0.7413, Val=0.6980, Diff=0.0433
142. AL1e-04W1e-08B1E10: Acc=0.7407, Val=0.6871, Diff=0.0536
143. AL1e-07W1e-09B1E5: Acc=0.7406, Val=0.6776, Diff=0.0630
144. ASAL1e-07W1e-09B1E15: Acc=0.7391, Val=0.7153, Diff=0.0238
145. CSAOriginal: Acc=0.7386, Val=0.5929, Diff=0.1457
146. ASAL1e-07W1e-07B2E10: Acc=0.7382, Val=0.6604, Diff=0.0778
147. ASAL1e-07W1e-08B2E15: Acc=0.7382, Val=0.7235, Diff=0.0147
148. AL1e-07W1e-08B2E10: Acc=0.7380, Val=0.7029, Diff=0.0351
149. AL1e-07W1e-08B2E15: Acc=0.7370, Val=0.7095, Diff=0.0275
150. AWeight_LR1e-07_e15_B1: Acc=0.7367, Val=0.6250, Diff=0.1117
151. AL1e-07W1e-08B1E10: Acc=0.7364, Val=0.6956, Diff=0.0408
152. ASAL1e-07W1e-07B2E15: Acc=0.7355, Val=0.7315, Diff=0.0040
153. AL1e-07W1e-07B2E15: Acc=0.7354, Val=0.7221, Diff=0.0133
154. AL1e-07W1e-09B2E10: Acc=0.7353, Val=0.6712, Diff=0.0641
155. ASAL1e-07W1e-08B1E10: Acc=0.7352, Val=0.7315, Diff=0.0037
156. ASAL1e-07W1e-09B2E10: Acc=0.7352, Val=0.4401, Diff=0.2951
157. AL1e-07W1e-07B1E10: Acc=0.7350, Val=0.7361, Diff=-0.0011
158. ASAL1e-06W1e-07B4E15: Acc=0.7350, Val=0.7034, Diff=0.0316
159. AWeight_LR1e-07_e10_B1: Acc=0.7350, Val=0.6693, Diff=0.0657
160. AL1e-07W1e-07B2E10: Acc=0.7348, Val=0.7044, Diff=0.0304
161. ASAL1e-07W1e-09B2E15: Acc=0.7335, Val=0.7281, Diff=0.0054
162. ASAL1e-07W1e-07B1E15: Acc=0.7333, Val=0.7332, Diff=0.0001
163. AL1e-06W1e-09B2E15: Acc=0.7328, Val=0.7086, Diff=0.0242
164. AL1e-07W1e-09B1E10: Acc=0.7328, Val=0.7293, Diff=0.0035
165. AL1e-07W1e-08B1E15: Acc=0.7327, Val=0.7309, Diff=0.0018
166. AL1e-05W1e-07B4E10: Acc=0.7326, Val=0.6987, Diff=0.0339
167. AL1e-04W1e-09B1E10: Acc=0.7325, Val=0.5795, Diff=0.1530
168. ASAL1e-07W1e-08B1E15: Acc=0.7321, Val=0.6801, Diff=0.0520
169. ASAROriginal_LR1e-07_e10_B1: Acc=0.7320, Val=0.7105, Diff=0.0215
170. AL1e-06W1e-08B4E15: Acc=0.7314, Val=0.7258, Diff=0.0056
171. ASAL1e-07W1e-07B1E10: Acc=0.7314, Val=0.7266, Diff=0.0048
172. ASAL1e-07W1e-08B2E10: Acc=0.7313, Val=0.7330, Diff=-0.0018
173. AL1e-06W1e-08B1E15: Acc=0.7307, Val=0.7137, Diff=0.0170
174. ASAL1e-07W1e-09B1E10: Acc=0.7307, Val=0.7331, Diff=-0.0024
175. ASARWeight_LR1e-07_e15_B2: Acc=0.7307, Val=0.5575, Diff=0.1732
176. AOriginal_LR1e-07_e15_B2: Acc=0.7306, Val=0.6907, Diff=0.0399
177. ASARWeight_LR1e-07_e15_B1: Acc=0.7306, Val=0.6199, Diff=0.1107
178. ASARWeight_LR1e-07_e10_B1: Acc=0.7304, Val=0.6122, Diff=0.1182
179. AL1e-06W1e-09B1E15: Acc=0.7302, Val=0.7143, Diff=0.0159
180. AL1e-05W1e-08B4E15: Acc=0.7300, Val=0.7032, Diff=0.0268
181. AL1e-07W1e-07B1E5: Acc=0.7298, Val=0.0000, Diff=N/A
182. ASAROriginal_LR1e-07_e15_B2: Acc=0.7295, Val=0.7240, Diff=0.0055
183. AL1e-06W1e-07B2E15: Acc=0.7292, Val=0.7238, Diff=0.0054
184. AL1e-07W1e-09E10: Acc=0.7291, Val=0.0000, Diff=N/A
185. AL1e-05W1e-08B2E15: Acc=0.7288, Val=0.6939, Diff=0.0349
186. AL1e-05W1e-08B1E10: Acc=0.7285, Val=0.7060, Diff=0.0225
187. AL1e-06W1e-08B2E15: Acc=0.7282, Val=0.7247, Diff=0.0035
188. ASAL1e-06W1e-08B4E15: Acc=0.7281, Val=0.7215, Diff=0.0066
189. AL1e-06W1e-09B4E15: Acc=0.7278, Val=0.7192, Diff=0.0086
190. ASAL1e-06W1e-07B2E15: Acc=0.7278, Val=0.7233, Diff=0.0045
191. AL1e-06W1e-09B4E10: Acc=0.7277, Val=0.7233, Diff=0.0044
192. ASAL1e-06W1e-08B4E10: Acc=0.7275, Val=0.7290, Diff=-0.0015
193. AL1e-05W1e-07B1E15: Acc=0.7270, Val=0.7227, Diff=0.0043
194. AL1e-06W1e-07B1E15: Acc=0.7268, Val=0.7253, Diff=0.0015
195. ASAL1e-06W1e-08B1E10: Acc=0.7268, Val=0.7233, Diff=0.0035
196. ASAL1e-06W1e-09B1E10: Acc=0.7267, Val=0.7234, Diff=0.0033
197. AL1e-05W1e-09B2E10: Acc=0.7266, Val=0.7242, Diff=0.0024
198. AL1e-06W1e-07B1E10: Acc=0.7266, Val=0.7213, Diff=0.0053
199. AL1e-05W1e-08B2E10: Acc=0.7265, Val=0.7109, Diff=0.0156
200. AL1e-06W1e-08B2E10: Acc=0.7265, Val=0.7262, Diff=0.0003
201. AL1e-06W1e-09B2E10: Acc=0.7264, Val=0.7240, Diff=0.0024
202. AL1e-05W1e-07B2E10: Acc=0.7263, Val=0.7241, Diff=0.0022
203. AL1e-05W1e-08B1E15: Acc=0.7263, Val=0.7219, Diff=0.0044
204. ASAL1e-07W1e-09B4E10: Acc=0.7263, Val=0.4396, Diff=0.2867
205. AL1e-06W1e-08B1E10: Acc=0.7260, Val=0.7230, Diff=0.0030
206. ASAL1e-06W1e-09B1E15: Acc=0.7260, Val=0.7230, Diff=0.0030
207. AL1e-05W1e-07B4E15: Acc=0.7258, Val=0.7193, Diff=0.0065
208. AOriginal_LR1e-07_e15_B1: Acc=0.7257, Val=0.7074, Diff=0.0183
209. AL1e-05W1e-07B1E10: Acc=0.7255, Val=0.7245, Diff=0.0010
210. AL1e-05W1e-07B2E15: Acc=0.7255, Val=0.7208, Diff=0.0047
211. AL1e-05W1e-08B1E5: Acc=0.7255, Val=0.7034, Diff=0.0221
212. AL1e-05W1e-09B4E15: Acc=0.7255, Val=0.7212, Diff=0.0043
213. AL1e-06W1e-07B2E10: Acc=0.7255, Val=0.7209, Diff=0.0046
214. ASAL1e-06W1e-07B4E10: Acc=0.7255, Val=0.7198, Diff=0.0058
215. AL1e-05W1e-09B2E15: Acc=0.7254, Val=0.7192, Diff=0.0062
216. AL1e-06W1e-09B1E10: Acc=0.7253, Val=0.7203, Diff=0.0050
217. AL1e-06W1e-09B1E5: Acc=0.7253, Val=0.7235, Diff=0.0018
218. ASAL1e-06W1e-08B1E15: Acc=0.7252, Val=0.7253, Diff=-0.0001
219. ASAL1e-06W1e-08B2E15: Acc=0.7250, Val=0.7140, Diff=0.0110
220. ASAL1e-06W1e-08B2E10: Acc=0.7246, Val=0.7229, Diff=0.0017
221. AL1e-04W1e-07B1E5: Acc=0.7245, Val=0.6455, Diff=0.0790
222. AL1e-05W1e-09B1E10: Acc=0.7245, Val=0.7218, Diff=0.0028
223. ASARWeight_LR1e-07_e10_B2: Acc=0.7243, Val=0.4914, Diff=0.2329
224. AL1e-05W1e-09B1E5: Acc=0.7242, Val=0.7203, Diff=0.0039
225. ASAL1e-06W1e-07B1E10: Acc=0.7241, Val=0.7194, Diff=0.0047
226. AL1e-06W1e-08B1E5: Acc=0.7239, Val=0.7217, Diff=0.0022
227. ASAL1e-06W1e-07B2E10: Acc=0.7238, Val=0.7200, Diff=0.0038
228. AL1e-05W1e-09B1E15: Acc=0.7232, Val=0.7209, Diff=0.0023
229. ASAL1e-06W1e-09B2E10: Acc=0.7232, Val=0.7213, Diff=0.0019
230. ASAL1e-06W1e-09B2E15: Acc=0.7231, Val=0.7264, Diff=-0.0033
231. AL1e-05W1e-07B1E5: Acc=0.7226, Val=0.7208, Diff=0.0018
232. AL1e-05W1e-09B4E10: Acc=0.7224, Val=0.7181, Diff=0.0043
233. AL1e-06W1e-07B1E5: Acc=0.7222, Val=0.7190, Diff=0.0032
234. ASAROriginal_LR1e-07_e10_B2: Acc=0.7220, Val=0.6774, Diff=0.0446
235. Dataset A: Acc=0.7218, Val=0.6812, Diff=0.0406
236. AL1e-04W1e-08B1E15: Acc=0.7216, Val=0.7148, Diff=0.0068
237. ASAL1e-06W1e-07B1E15: Acc=0.7215, Val=0.7143, Diff=0.0072
238. AOriginal_LR1e-07_e10_B2: Acc=0.7214, Val=0.6927, Diff=0.0287
239. AL1e-04W1e-08B1E5: Acc=0.7206, Val=0.7149, Diff=0.0057
240. AL1e-04W1e-07B1E10: Acc=0.7197, Val=0.7140, Diff=0.0057
241. AL1e-04W1e-09B1E5: Acc=0.7193, Val=0.7183, Diff=0.0010
242. AL1e-04W1e-07B1E15: Acc=0.7186, Val=0.7136, Diff=0.0050
243. Dataset A SA: Acc=0.7186, Val=0.6753, Diff=0.0433
244. AOriginal_LR1e-07_e10_B1: Acc=0.7179, Val=0.7201, Diff=-0.0022
245. CWeight: Acc=0.7177, Val=0.4850, Diff=0.2327
246. ASAWeight: Acc=0.7157, Val=0.6102, Diff=0.1055
247. ASAOriginal: Acc=0.7112, Val=0.7105, Diff=0.0007
248. AOriginal: Acc=0.7079, Val=0.7157, Diff=-0.0078
249. AWeight: Acc=0.7071, Val=0.6696, Diff=0.0375
250. ASAROriginal_LR1e-07_e15_B1: Acc=0.6996, Val=0.7042, Diff=-0.0046
251. AL1e-07W1e-08B4E10: Acc=0.6905, Val=0.3246, Diff=0.3659
252. AWeight_LR1e-07_e15_B2: Acc=0.6807, Val=0.4149, Diff=0.2658
